season,date,team_id,team,opp,ha,total,oppXERA,oppBullpenERA,ops,opsL3,runsL3,s_xera,s_ops,s_bull,s_runsL3,s_opsL3,runs,opp_runs,pk
2025,2025-03-28,112,Chicago Cubs,Arizona Diamondbacks,Away,53.03,7.902,10.0,0.6214,0.6214,,100.0,0.0,100.0,,30.3,10,6,778552
2025,2025-03-28,109,Arizona Diamondbacks,Chicago Cubs,Home,75.6,9.823,4.74,0.8045,,,100.0,100.0,56.0,,,6,10,778552
2025,2025-03-28,133,Athletics,Seattle Mariners,Away,0.61,2.561,2.0,0.4437,,,1.5,0.0,0.0,,,2,4,778547
2025,2025-03-28,136,Seattle Mariners,Athletics,Home,65.86,5.866,3.38,0.8224,,,84.1,100.0,22.0,,,4,2,778547
2025,2025-03-29,111,Boston Red Sox,Texas Rangers,Away,8.24,3.199,3.0,0.5624,,,17.5,0.0,12.5,,,1,4,778550
2025,2025-03-29,140,Texas Rangers,Boston Red Sox,Home,48.88,8.528,3.0,0.6695,,,100.0,25.4,12.5,,,4,1,778550
2025,2025-03-29,121,New York Mets,Houston Astros,Away,40.0,7.443,2.45,0.5889,,,100.0,0.0,0.0,,,3,1,778518
2025,2025-03-29,117,Houston Astros,New York Mets,Home,10.83,3.583,0.73,0.4623,,,27.1,0.0,0.0,,,1,3,778518
2025,2025-03-29,112,Chicago Cubs,Arizona Diamondbacks,Away,38.39,4.803,5.5,0.5624,0.6365,4.67,57.6,0.0,75.0,44.5,34.1,1,8,778543
2025,2025-03-29,109,Arizona Diamondbacks,Chicago Cubs,Home,78.75,9.983,6.0,0.9575,,,100.0,100.0,87.5,,,8,1,778543
2025,2025-03-29,133,Athletics,Seattle Mariners,Away,47.39,4.169,4.5,0.7749,,,41.7,85.7,50.0,,,7,0,778541
2025,2025-03-29,136,Seattle Mariners,Athletics,Home,0.0,2.456,1.59,0.5945,,,0.0,0.0,0.0,,,0,7,778541
2025,2025-03-29,144,Atlanta Braves,San Diego Padres,Away,16.72,4.172,2.35,0.6141,,,41.8,0.0,0.0,,,3,4,778542
2025,2025-03-29,135,San Diego Padres,Atlanta Braves,Home,80.0,10.294,6.55,0.8429,,,100.0,100.0,100.0,,,4,3,778542
2025,2025-03-29,116,Detroit Tigers,Los Angeles Dodgers,Away,35.99,2.974,3.0,0.8146,,,11.9,100.0,12.5,,,5,8,778544
2025,2025-03-29,119,Los Angeles Dodgers,Detroit Tigers,Home,91.01,6.425,5.84,0.7969,0.8576,5.0,98.1,98.2,83.5,50.0,89.4,8,5,778544
2025,2025-03-30,112,Chicago Cubs,Arizona Diamondbacks,Away,43.61,5.424,5.0,0.5894,0.6468,4.67,73.1,0.0,62.5,44.5,36.7,4,3,778532
2025,2025-03-30,109,Arizona Diamondbacks,Chicago Cubs,Home,49.19,2.788,5.25,0.8773,0.8773,,7.2,100.0,68.8,,94.3,3,4,778532
2025,2025-03-30,116,Detroit Tigers,Los Angeles Dodgers,Away,48.01,4.842,3.0,0.7279,0.7279,,58.5,58.8,12.5,,57.0,3,7,778533
2025,2025-03-30,119,Los Angeles Dodgers,Detroit Tigers,Home,76.22,4.587,6.64,0.8183,0.8252,6.33,52.2,100.0,100.0,72.2,81.3,7,3,778533
2025,2025-03-30,133,Athletics,Seattle Mariners,Away,53.47,5.258,4.0,0.7218,0.7218,,69.0,55.3,37.5,,55.5,4,2,778521
2025,2025-03-30,136,Seattle Mariners,Athletics,Home,41.91,7.391,1.38,0.5766,0.5766,,100.0,0.0,0.0,,19.1,2,4,778521
2025,2025-04-01,137,San Francisco Giants,Houston Astros,Away,27.42,2.942,3.91,0.6819,0.7109,4.67,11.1,32.5,35.2,44.5,52.7,7,2,778505
2025,2025-04-01,117,Houston Astros,San Francisco Giants,Home,0.0,1.771,1.83,0.4687,0.4184,2.0,0.0,0.0,0.0,0.0,0.0,2,7,778505
2025,2025-04-01,114,Cleveland Guardians,San Diego Padres,Away,55.89,3.768,1.84,0.8094,0.8064,5.33,31.7,100.0,0.0,55.5,76.6,2,7,778499
