season,date,team_id,team,opp,ha,total,oppXERA,oppBullpenERA,ops,opsL3,runsL3,s_xera,s_ops,s_bull,s_runsL3,s_opsL3,runs,opp_runs,pk
2026,2026-03-26,147,New York Yankees,San Francisco Giants,Away,53.81,6.007,6.0,0.6833,,,87.7,33.3,87.5,,,7,0,823244
2026,2026-03-26,137,San Francisco Giants,New York Yankees,Home,13.55,3.855,0.0,0.2732,,,33.9,0.0,0.0,,,0,7,823244
2026,2026-03-27,109,Arizona Diamondbacks,Los Angeles Dodgers,Away,7.37,3.237,2.0,0.5161,,,18.4,0.0,0.0,,,2,8,823974
2026,2026-03-27,119,Los Angeles Dodgers,Arizona Diamondbacks,Home,80.0,11.504,9.0,0.9402,,,100.0,100.0,100.0,,,8,2,823974
2026,2026-03-27,114,Cleveland Guardians,Seattle Mariners,Away,38.75,1.973,6.0,0.9448,,,0.0,100.0,87.5,,,6,4,823163
2026,2026-03-27,136,Seattle Mariners,Cleveland Guardians,Home,73.75,7.47,4.0,0.8603,,,100.0,100.0,37.5,,,4,6,823163
2026,2026-03-28,108,Los Angeles Angels,Houston Astros,Away,56.08,4.215,6.07,0.9021,,,42.9,100.0,89.2,,,6,2,824216
2026,2026-03-28,117,Houston Astros,Los Angeles Angels,Home,31.94,5.694,1.5,0.5318,,,79.8,0.0,0.0,,,2,6,824216
2026,2026-03-28,116,Detroit Tigers,San Diego Padres,Away,31.04,4.007,3.6,0.7021,,,37.7,44.1,27.5,,,5,2,823324
2026,2026-03-28,135,San Diego Padres,Detroit Tigers,Home,6.93,3.193,1.5,0.5485,,,17.3,0.0,0.0,,,2,5,823324
2026,2026-03-28,114,Cleveland Guardians,Seattle Mariners,Away,26.24,3.021,3.5,0.7331,,,13.0,61.8,25.0,,,1,5,823162
2026,2026-03-28,136,Seattle Mariners,Cleveland Guardians,Home,55.11,4.446,4.76,0.8031,,,48.6,100.0,56.5,,,5,1,823162
2026,2026-03-28,109,Arizona Diamondbacks,Los Angeles Dodgers,Away,42.68,6.124,3.0,0.6553,,,90.6,17.3,12.5,,,4,5,823971
2026,2026-03-28,119,Los Angeles Dodgers,Arizona Diamondbacks,Home,79.49,9.38,7.31,0.797,,,100.0,98.3,100.0,,,5,4,823971
2026,2026-03-29,116,Detroit Tigers,San Diego Padres,Away,3.19,2.615,2.25,0.5816,0.5816,,2.9,0.0,0.0,,20.4,0,3,823323
2026,2026-03-29,135,San Diego Padres,Detroit Tigers,Home,41.16,12.143,1.8,0.5465,0.5465,,100.0,0.0,0.0,,11.6,3,0,823323
2026,2026-03-29,109,Arizona Diamondbacks,Los Angeles Dodgers,Away,2.02,2.395,2.67,0.5639,0.5639,,0.0,0.0,4.2,,16.0,2,3,823973
2026,2026-03-29,119,Los Angeles Dodgers,Arizona Diamondbacks,Home,39.59,3.056,5.62,0.7426,0.7426,,13.9,67.2,78.0,,60.7,3,2,823973
2026,2026-03-29,114,Cleveland Guardians,Seattle Mariners,Away,21.02,2.004,3.86,0.6988,0.6988,,0.0,42.2,34.0,,49.7,6,5,823161
2026,2026-03-29,136,Seattle Mariners,Cleveland Guardians,Home,70.46,5.883,4.33,0.7723,0.7723,,84.6,84.2,45.8,,68.1,5,6,823161
2026,2026-03-31,111,Boston Red Sox,Houston Astros,Away,28.3,3.583,4.36,0.6665,0.6396,3.33,27.1,23.7,46.5,22.2,34.9,1,8,824214
2026,2026-03-31,117,Houston Astros,Boston Red Sox,Home,95.01,9.277,4.95,0.8,0.9665,7.33,100.0,100.0,61.3,88.8,100.0,8,1,824214
2026,2026-03-31,137,San Francisco Giants,San Diego Padres,Away,39.82,6.482,2.45,0.441,0.4975,0.33,99.6,0.0,0.0,0.0,0.0,3,2,823320
2026,2026-03-31,135,San Diego Padres,San Francisco Giants,Home,3.19,2.297,3.38,0.5116,0.5175,2.33,0.0,0.0,22.0,5.5,4.4,2,3,823320
2026,2026-03-31,147,New York Yankees,Seattle Mariners,Away,11.25,1.521,2.7,0.6459,0.6315,4.33,0.0,11.9,5.0,38.8,32.9,1,2,823159
2026,2026-03-31,136,Seattle Mariners,New York Yankees,Home,43.0,3.388,0.7,0.7524,0.7245,6.0,22.2,72.8,0.0,66.7,56.1,2,1,823159
2026,2026-03-31,116,Detroit Tigers,Arizona Diamondbacks,Away,42.84,5.43,5.73,0.6263,0.5544,4.33,73.2,0.7,80.8,38.8,13.6,6,9,825108
2026,2026-03-31,109,Arizona Diamondbacks,Detroit Tigers,Home,61.19,10.8,4.18,0.6837,0.7325,2.67,100.0,33.5,42.0,11.2,58.1,9,6,825108
2026,2026-03-31,114,Cleveland Guardians,Los Angeles Dodgers,Away,18.84,4.129,3.0,0.6125,0.53,2.33,40.7,0.0,12.5,5.5,7.5,4,2,823972
2026,2026-03-31,119,Los Angeles Dodgers,Cleveland Guardians,Home,32.95,3.258,3.63,0.7072,0.616,5.33,18.9,47.0,28.2,55.5,29.0,2,4,823972
2026,2026-03-31,143,Philadelphia Phillies,Washington Nationals,Home,31.08,5.239,3.31,0.5849,0.4901,3.0,68.5,0.0,20.2,16.7,0.0,3,2,823485
2026,2026-03-31,112,Chicago Cubs,Los Angeles Angels,Home,37.32,2.753,2.25,0.7422,0.7766,6.67,6.3,67.0,0.0,77.8,69.1,0,2,824699
2026,2026-04-01,111,Boston Red Sox,Houston Astros,Away,6.45,1.986,3.86,0.6296,0.5459,2.67,0.0,2.6,34.0,11.2,11.5,2,9,824212
2026,2026-04-01,117,Houston Astros,Boston Red Sox,Home,99.03,11.182,6.11,0.8294,1.0018,9.33,100.0,100.0,90.3,100.0,100.0,9,2,824212
2026,2026-04-01,116,Detroit Tigers,Arizona Diamondbacks,Away,11.07,1.806,5.57,0.6006,0.5246,3.67,0.0,0.0,76.8,27.8,6.1,5,7,825107
2026,2026-04-01,109,Arizona Diamondbacks,Detroit Tigers,Home,62.09,5.132,5.0,0.728,0.7747,5.0,65.8,58.9,62.5,50.0,68.7,7,5,825107
2026,2026-04-01,137,San Francisco Giants,San Diego Padres,Away,47.9,6.248,3.64,0.5943,0.8028,1.33,93.7,0.0,28.5,0.0,75.7,9,3,823322
2026,2026-04-01,135,San Diego Padres,San Francisco Giants,Home,31.5,5.4,3.28,0.515,0.4904,2.33,72.5,0.0,19.5,5.5,0.0,3,9,823322
2026,2026-04-01,147,New York Yankees,Seattle Mariners,Away,10.32,2.353,3.12,0.656,0.6164,2.33,0.0,17.7,15.5,5.5,29.1,5,0,823158
2026,2026-04-01,136,Seattle Mariners,New York Yankees,Home,22.58,2.923,0.52,0.6875,0.6054,5.0,10.6,35.7,0.0,50.0,26.4,0,5,823158
2026,2026-04-01,114,Cleveland Guardians,Los Angeles Dodgers,Away,12.25,3.478,2.6,0.574,0.4295,3.33,24.5,0.0,2.5,22.2,0.0,1,4,823969
2026,2026-04-01,119,Los Angeles Dodgers,Cleveland Guardians,Home,64.42,6.759,3.78,0.7128,0.6581,3.33,100.0,50.2,32.0,22.2,39.5,4,1,823969
2026,2026-04-01,133,Athletics,Atlanta Braves,Away,27.19,5.016,0.98,0.5484,0.559,2.33,62.9,0.0,0.0,5.5,14.8,1,5,824940
2026,2026-04-01,144,Atlanta Braves,Athletics,Home,39.87,3.822,2.66,0.7531,0.6496,2.33,33.1,73.2,4.0,5.5,37.4,5,1,824940
2026,2026-04-01,140,Texas Rangers,Baltimore Orioles,Away,59.57,3.629,5.4,0.7668,0.8357,7.0,28.2,81.0,72.5,83.3,83.9,3,8,824860
